주차,이름,유형,날짜,출처,Git
1주차,타겟 넘버,"BFS, DFS",2024년 1월 9일 → 2024년 1월 15일,https://school.programmers.co.kr/learn/courses/30/lessons/43165,https://github.com/J-algorithm/J-algorithm/tree/main/BFS-DFS/%ED%83%80%EA%B2%9F%20%EB%84%98%EB%B2%84
1주차,네트워크,"BFS, DFS",2024년 1월 9일 → 2024년 1월 15일,https://school.programmers.co.kr/learn/courses/30/lessons/43162,https://github.com/J-algorithm/J-algorithm/tree/main/BFS-DFS/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC
1주차,게임 맵 최단거리,"BFS, DFS",2024년 1월 9일 → 2024년 1월 15일,https://school.programmers.co.kr/learn/courses/30/lessons/1844,https://github.com/J-algorithm/J-algorithm/tree/main/BFS-DFS/%EA%B2%8C%EC%9E%84%20%EB%A7%B5%20%EC%B5%9C%EB%8B%A8%EA%B1%B0%EB%A6%AC
2주차,단어 변환,"BFS, DFS",2024년 1월 16일 → 2024년 1월 22일,https://school.programmers.co.kr/learn/courses/30/lessons/43163,https://github.com/J-algorithm/J-algorithm/tree/main/BFS-DFS/%EB%8B%A8%EC%96%B4%20%EB%B3%80%ED%99%98
2주차,아이템 줍기,"BFS, DFS",2024년 1월 16일 → 2024년 1월 22일,https://school.programmers.co.kr/learn/courses/30/lessons/87694,https://github.com/J-algorithm/J-algorithm/tree/main/BFS-DFS/%EC%95%84%EC%9D%B4%ED%85%9C%20%EC%A4%8D%EA%B8%B0
2주차,여행경로,"BFS, DFS",2024년 1월 16일 → 2024년 1월 22일,https://school.programmers.co.kr/learn/courses/30/lessons/43164,https://github.com/J-algorithm/J-algorithm/tree/main/BFS-DFS/%EC%97%AC%ED%96%89%EA%B2%BD%EB%A1%9C
2주차,퍼즐 조각 채우기,"BFS, DFS",2024년 1월 16일 → 2024년 1월 22일,https://school.programmers.co.kr/learn/courses/30/lessons/84021,https://github.com/J-algorithm/J-algorithm/tree/main/BFS-DFS/%ED%8D%BC%EC%A6%90%20%EC%A1%B0%EA%B0%81%20%EC%B1%84%EC%9A%B0%EA%B8%B0
3주차,최소직사각형,"완전탐색",2024년 1월 23일 → 2024년 1월 29일,https://school.programmers.co.kr/learn/courses/30/lessons/86491,https://github.com/J-algorithm/J-algorithm/tree/main/%EC%99%84%EC%A0%84%ED%83%90%EC%83%89/%EC%B5%9C%EC%86%8C%EC%A7%81%EC%82%AC%EA%B0%81%ED%98%95
3주차,모의고사,"완전탐색",2024년 1월 23일 → 2024년 1월 29일,https://school.programmers.co.kr/learn/courses/30/lessons/42840,https://github.com/J-algorithm/J-algorithm/tree/main/%EC%99%84%EC%A0%84%ED%83%90%EC%83%89/%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC
3주차,소수찾기,"완전탐색",2024년 1월 23일 → 2024년 1월 29일,https://school.programmers.co.kr/learn/courses/30/lessons/42839,https://github.com/J-algorithm/J-algorithm/tree/main/%EC%99%84%EC%A0%84%ED%83%90%EC%83%89/%EC%86%8C%EC%88%98%20%EC%B0%BE%EA%B8%B0
3주차,카펫,"완전탐색",2024년 1월 23일 → 2024년 1월 29일,https://school.programmers.co.kr/learn/courses/30/lessons/42842,https://github.com/J-algorithm/J-algorithm/tree/main/%EC%99%84%EC%A0%84%ED%83%90%EC%83%89/%EC%B9%B4%ED%8E%AB
4주차,피로도,"완전탐색",2024년 1월 30일 → 2024년 2월 5일,https://school.programmers.co.kr/learn/courses/30/lessons/87946,https://github.com/J-algorithm/J-algorithm/tree/main/%EC%99%84%EC%A0%84%ED%83%90%EC%83%89/%ED%94%BC%EB%A1%9C%EB%8F%84
4주차,전력망을 둘로 나누기,"완전탐색",2024년 1월 30일 → 2024년 2월 5일,https://school.programmers.co.kr/learn/courses/30/lessons/86971,https://github.com/J-algorithm/J-algorithm/tree/main/%EC%99%84%EC%A0%84%ED%83%90%EC%83%89/%EC%A0%84%EB%A0%A5%EB%A7%9D%EC%9D%84%20%EB%91%98%EB%A1%9C%20%EB%82%98%EB%88%84%EA%B8%B0
4주차,모음사전,"완전탐색",2024년 1월 30일 → 2024년 2월 5일,https://school.programmers.co.kr/learn/courses/30/lessons/84512,https://github.com/J-algorithm/J-algorithm/tree/main/%EC%99%84%EC%A0%84%ED%83%90%EC%83%89/%EB%AA%A8%EC%9D%8C%EC%82%AC%EC%A0%84
5주차,N으로 표현,"DP",2024년 2월 6일 → 2024년 2월 12일,https://github.com/J-algorithm/J-algorithm/tree/main/DP/N%EC%9C%BC%EB%A1%9C%20%ED%91%9C%ED%98%84
5주차,정수삼각형,"DP",2024년 2월 6일 → 2024년 2월 12일,https://github.com/J-algorithm/J-algorithm/tree/main/DP/%EC%A0%95%EC%88%98%20%EC%82%BC%EA%B0%81%ED%98%95
5주차,등굣길,"DP",2024년 2월 6일 → 2024년 2월 12일,https://github.com/J-algorithm/J-algorithm/tree/main/DP/%EB%93%B1%EA%B5%A3%EA%B8%B8
6주차,사칙연산,"DP",2024년 2월 13일 → 2024년 2월 19일,https://github.com/J-algorithm/J-algorithm/tree/main/DP/%EC%82%AC%EC%B9%99%EC%97%B0%EC%82%B0
6주차,도둑질,"DP",2024년 2월 13일 → 2024년 2월 19일,https://github.com/J-algorithm/J-algorithm/tree/main/DP/%EB%8F%84%EB%91%91%EC%A7%88
7주차,체육복,"그리디",2024년 2월 20일 → 2024년 2월 26일,
7주차,조이스틱,"그리디",2024년 2월 20일 → 2024년 2월 26일,
7주차,큰 수 만들기,"그리디",2024년 2월 20일 → 2024년 2월 26일,
7주차,구명보트,"그리디",2024년 2월 20일 → 2024년 2월 26일,
